"id","city_id","name"
4,1,Avcilar
119,5,Gazi̇paşa
136,6,Karai̇sali
154,7,Tut
159,8,Çobanlar
172,8,Sultandaği
190,11,Gümüşhaciköy
206,13,Kemalpaşa
220,14,Koçarli
233,15,Burhani̇ye
249,16,Kurucaşi̇le
266,19,Pazaryeri̇
284,22,Dörtdi̇van
298,23,Gölhi̇sar
322,25,Korgun
329,26,Bayat
330,26,Boğazkale
331,26,Dodurga
335,26,Meci̇tözü
352,27,Çi̇vri̇l
370,28,Hazro
382,29,Gümüşova
401,31,Kovancilar
415,33,Aşkale
430,33,Şenkaya
442,34,Mi̇halgazi̇
467,36,Güce
481,38,Dereci̇k
493,39,İskenderun
502,40,Merkez
503,40,Tuzluca
504,41,Aksu
505,41,Atabey
511,41,Şarki̇karaağaç
529,43,Eski̇pazar
546,45,Seli̇m
559,46,İhsangazi̇
575,47,Meli̇kgazi̇
592,49,Karakeçi̇li̇
608,51,Çi̇çekdaği
631,53,Ci̇hanbeyli̇
647,53,Meram
661,54,Gedi̇z
673,55,Doğanşehi̇r
674,55,Doğanyol
680,55,Yeşi̇lyurt
699,57,Dargeçi̇t
715,58,Mezi̇tli̇
731,59,Seydi̇kemer
748,62,Altunhi̇sar
763,63,Gürgentepe
786,65,Hemşi̇n
799,66,Karapürçek
816,67,Havza
829,68,Eyyübi̇ye
844,69,Ti̇llo
845,70,Ayancik
846,70,Boyabat
854,71,Beytüşşebap
871,72,Koyulhi̇sar
884,73,Marmaraereğli̇si̇
905,75,Çarşibaşi
54,2,Kahramankazan
212,14,Buharkent
308,24,Çan
427,33,Palandöken
558,46,Hanönü
650,53,Seydi̇şehi̇r
45,2,Çamlidere
5,1,Bağcilar
7,1,Bakirköy
8,1,Başakşehi̇r
9,1,Bayrampaşa
10,1,Beşi̇ktaş
11,1,Beykoz
12,1,Beyli̇kdüzü
13,1,Beyoğlu
14,1,Büyükçekmece
15,1,Çatalca
16,1,Çekmeköy
17,1,Esenler
18,1,Esenyurt
20,1,Fati̇h
21,1,Gazi̇osmanpaşa
22,1,Güngören
23,1,Kadiköy
24,1,Kağithane
25,1,Kartal
26,1,Küçükçekmece
27,1,Maltepe
28,1,Pendi̇k
29,1,Sancaktepe
30,1,Sariyer
31,1,Şi̇le
33,1,Şi̇şli̇
34,1,Sultanbeyli̇
35,1,Sultangazi̇
36,1,Tuzla
37,1,Ümrani̇ye
38,1,Üsküdar
39,1,Zeyti̇nburnu
2,1,Arnavutköy
3,1,Ataşehi̇r
40,2,Akyurt
41,2,Altindağ
42,2,Ayaş
43,2,Bala
44,2,Beypazari
46,2,Çankaya
47,2,Çubuk
48,2,Elmadağ
49,2,Eti̇mesgut
50,2,Evren
51,2,Gölbaşi
52,2,Güdül
53,2,Haymana
55,2,Kaleci̇k
56,2,Keçi̇ören
57,2,Kizilcahamam
58,2,Mamak
59,2,Nallihan
60,2,Polatli
61,2,Pursaklar
62,2,Şerefli̇koçhi̇sar
63,2,Si̇ncan
64,2,Yeni̇mahalle
65,3,Ali̇ağa
66,3,Balçova
67,3,Bayindir
68,3,Bayrakli
69,3,Bergama
70,3,Beydağ
72,3,Buca
73,3,Çeşme
74,3,Çi̇ğli̇
75,3,Di̇ki̇li̇
76,3,Foça
77,3,Gazi̇emi̇r
78,3,Güzelbahçe
79,3,Karabağlar
81,3,Karşiyaka
82,3,Kemalpaşa
83,3,Kinik
84,3,Ki̇raz
85,3,Konak
86,3,Menderes
87,3,Menemen
88,3,Narlidere
89,3,Ödemi̇ş
90,3,Seferi̇hi̇sar
91,3,Selçuk
92,3,Ti̇re
94,3,Urla
95,4,Büyükorhan
96,4,Gemli̇k
97,4,Gürsu
98,4,Harmancik
99,4,İnegöl
100,4,İzni̇k
101,4,Karacabey
102,4,Keles
103,4,Kestel
104,4,Mudanya
106,4,Ni̇lüfer
107,4,Orhaneli̇
108,4,Orhangazi̇
109,4,Osmangazi̇
110,4,Yeni̇şehi̇r
111,4,Yildirim
112,5,Akseki̇
113,5,Aksu
114,5,Alanya
115,5,Demre
117,5,Elmali
118,5,Fi̇ni̇ke
120,5,Gündoğmuş
121,5,İbradi
122,5,Kaş
123,5,Kemer
124,5,Kepez
125,5,Konyaalti
126,5,Korkuteli̇
127,5,Kumluca
129,5,Muratpaşa
130,5,Seri̇k
131,6,Aladağ
132,6,Ceyhan
133,6,Çukurova
134,6,Feke
135,6,İmamoğlu
137,6,Karataş
138,6,Kozan
140,6,Sai̇mbeyli̇
141,6,Sariçam
142,6,Seyhan
143,6,Tufanbeyli̇
144,6,Yumurtalik
145,6,Yüreği̇r
146,7,Besni̇
147,7,Çeli̇khan
149,7,Gölbaşi
150,7,Kahta
151,7,Merkez
152,7,Samsat
156,8,Bayat
157,8,Bolvadi̇n
158,8,Çay
923,76,Nazimi̇ye
160,8,Dazkiri
161,8,Di̇nar
162,8,Emi̇rdağ
163,8,Evci̇ler
164,8,Hocalar
166,8,İscehi̇sar
167,8,Kizilören
168,8,Merkez
169,8,Sandikli
170,8,Si̇nanpaşa
171,8,Şuhut
173,9,Di̇yadi̇n
175,9,Eleşki̇rt
176,9,Hamur
177,9,Merkez
178,9,Patnos
179,9,Taşliçay
180,9,Tutak
181,10,Ağaçören
182,10,Eski̇l
183,10,Gülağaç
184,10,Güzelyurt
185,10,Merkez
187,10,Sariyahşi̇
188,10,Sultanhani
189,11,Göynücek
191,11,Hamamözü
192,11,Merkez
193,11,Merzi̇fon
194,11,Suluova
195,11,Taşova
196,12,Çildir
197,12,Damal
198,12,Göle
200,12,Merkez
